text	ans	eng	tc	sc
我 ___ 忙	好	I am very busy.	我很忙	我很忙
佢 ___ 我朋友	係	He is my friend.	他是我的朋友	他是我的朋友
你食 ___ 飯未？	咗	Have you eaten yet?	你吃飯了沒？	你吃饭了没？
我想 ___ 奶茶	飲	I want to drink milk tea.	我想喝奶茶	我想喝奶茶
廁所 ___ 邊度？	喺	Where is the toilet?	廁所在哪裡？	厕所在哪里？
唔該 ___ 杯水我	畀	Please give me a cup of water.	請給我一杯水	请给我一杯水
今日天氣好 ___	熱	Today is very hot.	今天天氣很熱	今天天气很热
聽 ___ 見	日	See you tomorrow.	明天見	明天见
我 ___ 識講廣東話	唔	I don't know how to speak Cantonese.	我不會說廣東話	我不会说广东话
祝你生日 ___	快樂	Happy birthday to you.	祝你生日快樂	祝你生日快乐
你有冇 ___ 過日本？	去	Have you ever been to Japan?	你有沒有去過日本？	你有没有去过日本？
呢個蘋果幾多 ___ ？	錢	How much is this apple?	這個蘋果多少錢？	这个苹果多少钱？
你 ___ 乜嘢名？	叫	What is your name?	你叫什麼名字？	你叫什么名字？
我有 ___ 個細佬	兩	I have two younger brothers.	我有兩個弟弟	我有两个弟弟
我想去 ___ 街	行	I want to go window shopping.	我想去逛街	我想去逛街
等我 ___ 下先	諗	Let me think first.	讓我先想一下	让我先想一下
你喺邊度 ___ ？	住	Where do you live?	你住在哪裡？	你住在哪里？
出面落 ___ 雨	緊	It is raining outside.	外面正在下雨	外面正在下雨
佢唔 ___ 嚟	會	He won't come.	他不會來	他不会来
我想買 ___ 書	本	I want to buy a book.	我想買本書	我想买本书
你鍾唔 ___ 佢？	意	Do you like him?	你喜不喜歡他？	你喜不喜欢他？
我哋一 ___ 去食飯	齊	We go to eat together.	我們一起去吃飯	我们一起去吃饭
架車開 ___ 喇	咗	The car has started.	車子開走了	车子开走了
你 ___ 唔舒服？	係咪	Are you not feeling well?	你是不是不舒服？	你是不是不舒服？
唔該借 ___ 呢度	過	Please let me pass through.	請借過一下	请借过一下
佢講 ___ 廣東話好叻	得	He speaks Cantonese very well.	他廣東話說得很好	他广东话説得很好
你有冇去過 ___ 本？	日	Have you ever been to Japan?	你有沒有去過日本？	你有没有去过日本？
聽講聽日會 ___ 風	打	I heard there will be a typhoon tomorrow.	聽說明天會刮颱風	听说明天会刮台风
呢件衫好 ___ 睇	靚	This shirt is very pretty.	這件衣服很好看	这件衣服很好看
早 ___ 呀，大家	晨	Good morning, everyone.	大家早安	大家早安
多 ___ 晒你	謝	Thank you very much.	非常感謝你	非常感谢你
我聽 ___ 唔明	都	I don't understand at all.	我也聽不懂	我也听不懂
佢琴日 ___ 返工	冇	He didn't go to work yesterday.	他昨天沒上班	他昨天没上班
你可唔可以 ___ 我？	幫	Can you help me?	你可不可以幫我？	你可不可以帮我？
呢度好 ___ 呀	嘈	It's very noisy here.	這裡很吵	这里很吵
我想買 ___ 嘢食	啲	I want to buy some food.	我想買點吃的	我想买点吃的
你幾時 ___ 呀？	返	When are you coming back?	你什麼時候回來？	你什么时候回来？
我 ___ 先走喇	行	I'm leaving first.	我先走啦	我先走啦
呢份禮物係送 ___ 你嘅	畀	This gift is for you.	這份禮物是送給你的	这份礼物是送给你的
你識唔 ___ 做呀？	識	Do you know how to do it?	你會不會做呀？	你会不会做呀？
我好 ___ 去旅行	想	I really want to go traveling.	我很想去旅行	我很想去旅行
唔該等 ___ 陣	一	Please wait a moment.	請等一下	请等一下
你食咗飯 ___ 未？	仲	Have you still not eaten?	你還沒吃飯嗎？	你还没吃饭吗？
唔該畀張 ___ 我	紙	Please give me a piece of paper.	請給我一張紙	请给我一张纸
佢 ___ 好鍾意睇戲	都	He also likes watching movies.	他也非常喜歡看戲	他也非常喜欢看戏
我想搵 ___ 工作	份	I want to find a job.	我想找份工作	我想找份工作
你鍾意食 ___ 嘢？	乜	What do you like to eat?	你喜歡吃什麼？	你喜欢吃什么？
聽日 ___ 見喇	再	See you tomorrow again.	明天再見啦	明天再见啦
佢 ___ 講英文	識	He knows how to speak English.	他會說英語	他会说英语
我 ___ 定聽日去	決	I decided to go tomorrow.	我決定明天去	我决定明天去
