eng	tc	sc	ans
I am very busy today.	我今天很忙	我今天很忙	我/今日/好/忙
Do you have money?	你有錢嗎？	你有钱吗？	你/有/冇/錢/？
He is my friend.	他是我的朋友	他是我的朋友	佢/係/我/嘅/朋友
I don't know how to speak Cantonese.	我不會說廣東話	我不会说广东话	我/唔/識/講/廣東話
I am very busy today.	我今天很忙	我今天很忙	我/今日/好/忙
Do you have money?	你有錢嗎？	你有钱吗？	你/有/冇/錢/？
He is my friend.	他是我的朋友	他是我的朋友	佢/係/我/嘅/朋友
I don't know how to speak Cantonese.	我不會說廣東話	我不会说广东话	我/唔/識/講/廣東話
Where are you going?	你去哪裡？	你去哪里？	你/去/邊度/呀
What time is it now?	現在幾點？	现在几点？	而家/幾點/呀
I have eaten already.	我已經吃了	我已经吃了	我/食/咗/啦
She is very beautiful.	她很漂亮	她很漂亮	佢/好/靚
We are going to the park tomorrow.	我們明天去公園	我们明天去公园	我哋/聽日/去/公園
Do you like this?	你喜歡這個嗎？	你喜欢这个吗？	你/鍾唔鍾意/呢個/呀
Give me that one.	給我那個	给我那个	俾/我/嗰個
I don't understand.	我不明白	我不明白	我/唔/明
Please wait a moment.	請等一下	请等一下	唔該/等/一陣
He is sleeping.	他在睡覺	他在睡觉	佢/瞓緊/覺
Let’s go together.	我們一起去	我们一起去	我哋/一齊/去
How much is this?	這個多少錢？	这个多少钱？	呢個/幾多/錢
I love you.	我愛你	我爱你	我/愛/你
Don’t do that.	不要那樣做	不要那样做	唔好/咁/做
He is taller than me.	他比我高	他比我高	佢/高/過/我
Where do you live?	你住哪裡？	你住哪里？	你/住/邊度
I want to drink water.	我想喝水	我想喝水	我/想/飲/水
This is very delicious.	這個很好吃	这个很好吃	呢個/好/好食/呀
Come here quickly.	快點過來	快点过来	快啲/過嚟/啦
I have no money.	我沒有錢	我没有钱	我/冇/錢
He left already.	他已經走了	他已经走了	佢/走/咗/喇
Can you help me?	你能幫我嗎？	你能帮我吗？	你/可唔可以/幫/我/呀
This is mine.	這是我的	这是我的	呢個/係/我/㗎
She is crying.	她在哭	她在哭	佢/喊/緊
Let me see.	讓我看一下	让我看一下	俾/我/睇/下
Don’t be angry.	不要生氣	不要生气	唔好/嬲/啦
I’m very tired.	我很累	我很累	我/好/攰
He runs very fast.	他跑得很快	他跑得很快	佢/跑/得/好/快
Say it again.	再說一次	再说一次	講/多次/呀
This is too expensive.	這個太貴了	这个太贵了	呢個/太/貴/啦
I forgot.	我忘了	我忘了	我/唔記得/咗
Where is the bathroom?	廁所在哪裡？	厕所在哪里？	廁所/喺/邊度
I am full.	我飽了	我饱了	我/飽/啦
He is very funny.	他很有趣	他很有趣	佢/好/好笑/㗎
What is this?	這是什麼？	这是什么？	呢個/係/乜嘢/嚟/㗎
I have two older brothers.	我有兩個哥哥	我有两个哥哥	我/有/兩個/阿哥
She is my younger sister.	她是我的妹妹	她是我的妹妹	佢/係/我/嘅/細妹
We are eating hotpot.	我們在吃火鍋	我们在吃火锅	我哋/食緊/火鍋
This movie is boring.	這部電影很無聊	这部电影很无聊	呢套/戲/好/悶
Don’t touch that.	不要碰那個	不要碰那个	唔好/掂/嗰個
Let’s go home.	我們回家吧	我们回家吧	我哋/返屋企/啦
I bumped into him yesterday.	我昨天遇到他了	我昨天遇到他了	我/琴日/撞到/佢
He is wearing a red shirt.	他穿著一件紅色襯衫	他穿着一件红色衬衫	佢/著住/件/紅色/衫
